name,author,latest_release,created,size,latest_game_version,categories,downloads,mod_loaders
MmmMmmMmmMmm (Target Dummy),MehVahdJukaar,"Sep 12, 2024","Nov 22, 2014",207.74 KB,1.21.1,Miscellaneous | Map and Information,"58,551,343","Forge, Fabric, NeoForge"
Crafting Tweaks,BlayTheNinth,"Aug 19, 2024","Jul 23, 2015",239.65 KB,1.21.1,Utility & QoL,"105,008,394","Forge, NeoForge"
KubeJS,LatvianModder,"Sep 7, 2024","Nov 20, 2015",1.58 MB,1.20.1,World Gen | Server Utility | API and Library | KubeJS | Map and Information,"61,713,256","Forge, Fabric, Quilt, NeoForge"
YUNG's Better End Island (Forge),YUNGNICKYOUNG,"May 17, 2024","Aug 11, 2023",377.33 KB,1.20.4,Adventure and RPG | Structures | Dimensions | Structures | Dimensions | World Gen,"19,151,410",Forge
NetherPortalFix,BlayTheNinth,"Aug 13, 2024","Jan 26, 2016",207.00 KB,1.21.1,Utility & QoL,"84,761,630","Forge, NeoForge"
Storage Drawers,Texelsaur,"Sep 11, 2024","Aug 30, 2014",696.54 KB,1.20.1,Storage | Cosmetic,"173,900,304","Forge, NeoForge"
CoroUtil,Corosus,"Aug 13, 2024","Nov 8, 2015",62.48 KB,1.21.1,API and Library,"36,989,129","Forge, NeoForge, Fabric"
Towns and Towers,Biban_Auriu,"Jul 17, 2024","May 23, 2022",3.47 MB,1.21.1,Adventure and RPG | World Gen | Structures,"30,735,774","Forge, Fabric, Quilt, NeoForge"
Handcrafted,terrariumearth,"Aug 11, 2024","Oct 19, 2021",6.79 MB,1.21.1,Cosmetic,"30,946,026","Fabric, Forge, NeoForge"
FastWorkbench,Shadows_of_Fire,"Aug 28, 2024","Feb 23, 2018",27.96 KB,1.21.1,Performance,"113,541,546","Forge, NeoForge"
Macaw's Doors,sketch_macaw,"Aug 17, 2024","Apr 25, 2020",1.10 MB,1.21.1,Redstone | Cosmetic,"62,571,672","Forge, Fabric, NeoForge"
Create Crafts & Additions,MRHminer,"Aug 24, 2024","Jan 25, 2021",1.45 MB,1.20.1,"Addons | Energy, Fluid, and Item Transport | Energy","46,957,403","Forge, NeoForge, Fabric, Quilt"
Structure Essentials[Forge/Fabric],someaddon,"Jul 8, 2024","Mar 2, 2023",26.32 KB,1.21.1,Structures | Map and Information | Server Utility,"25,298,350","Forge, Fabric, NeoForge"
When Dungeons Arise - Forge!,Aureljz,"Aug 11, 2024","Feb 2, 2021",8.34 MB,1.21.1,Adventure and RPG | Structures | World Gen,"50,169,216","Forge, NeoForge"
CoFH Core,TeamCoFH,"May 27, 2024","Nov 17, 2013",1.44 MB,1.20.1,API and Library | Thermal Expansion | Server Utility,"162,457,250","Forge, NeoForge"
Serene Seasons,TheAdubbz,"Aug 25, 2024","Apr 9, 2018",142.91 KB,1.20.4,Cosmetic | Farming | Biomes,"52,379,248","Forge, Fabric, NeoForge"
Packet Fixer,TonimatasDEV,"Aug 15, 2024","Oct 18, 2022",22.61 KB,1.18.2,Server Utility | Miscellaneous,"15,927,052","Forge, Fabric, Quilt, NeoForge"
Cristel Lib,Cristelknight,"Sep 5, 2024","May 2, 2023",417.89 KB,1.21.1,API and Library | World Gen | Structures,"21,185,313","Forge, Fabric, Quilt, NeoForge"
BisectHosting Server Integration Menu [FORGE],BisectHosting,"Aug 20, 2024","Mar 3, 2022",161.55 KB,1.21.1,Utility & QoL | Server Utility,"35,181,479",Forge
Skin Layers 3D (Fabric/Forge),tr7zw,"Aug 20, 2024","Aug 28, 2021",459.92 KB,1.21.1,Adventure and RPG | Cosmetic,"39,307,501","Fabric, Forge, NeoForge"
